NomBloc;NomChamp;POSX;POSY;Largeur;nbLignes;NbIterationMin;NbIterationMax;alignement;format;style
BILANS_PREVISIONNELS;SITUATION_AU_EX1;66;16;19;1;1;1;G;d;n
BILANS_PREVISIONNELS;SITUATION_AU_EX2;95;16;19;1;1;1;G;d;n
BILANS_PREVISIONNELS;SITUATION_AU_EX3;124;16;19;1;1;1;G;d;n
BILANS_PREVISIONNELS;SITUATION_AU_EX4;153;16;19;1;1;1;G;d;n
BILANS_PREVISIONNELS;SITUATION_AU_EX5;182;16;19;1;1;1;G;d;n
BILANS_PREVISIONNELS;SITUATION_AU_EX6;211;16;19;1;1;1;G;d;n
BILANS_PREVISIONNELS;SITUATION_AU_EX7;241;16;19;1;1;1;G;d;n
BILANS_PREVISIONNELS;ACTIF_IMMOBILISE_EX1;66;20;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;ACTIF_IMMOBILISE_EX2;95;20;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;ACTIF_IMMOBILISE_EX3;124;20;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;ACTIF_IMMOBILISE_EX4;153;20;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;ACTIF_IMMOBILISE_EX5;182;20;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;ACTIF_IMMOBILISE_EX6;211;20;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;ACTIF_IMMOBILISE_EX7;241;20;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;FRAIS_DETABLISSEMENT_EX1;66;24;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;FRAIS_DETABLISSEMENT_EX2;95;24;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;FRAIS_DETABLISSEMENT_EX3;124;24;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;FRAIS_DETABLISSEMENT_EX4;153;24;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;FRAIS_DETABLISSEMENT_EX5;182;24;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;FRAIS_DETABLISSEMENT_EX6;211;24;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;FRAIS_DETABLISSEMENT_EX7;241;24;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;TERRAINS_AMELIORATIONS_FONCIERES_EX1;66;28;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;TERRAINS_AMELIORATIONS_FONCIERES_EX2;95;28;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;TERRAINS_AMELIORATIONS_FONCIERES_EX3;124;28;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;TERRAINS_AMELIORATIONS_FONCIERES_EX4;153;28;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;TERRAINS_AMELIORATIONS_FONCIERES_EX5;182;28;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;TERRAINS_AMELIORATIONS_FONCIERES_EX6;211;28;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;TERRAINS_AMELIORATIONS_FONCIERES_EX7;241;28;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;PLANTATIONS_EX1;66;32;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;PLANTATIONS_EX2;95;32;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;PLANTATIONS_EX3;124;32;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;PLANTATIONS_EX4;153;32;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;PLANTATIONS_EX5;182;32;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;PLANTATIONS_EX6;211;32;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;PLANTATIONS_EX7;241;32;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;CONSTRUCTIONS_ET_INSTALLATIONS_EX1;66;36;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;CONSTRUCTIONS_ET_INSTALLATIONS_EX2;95;36;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;CONSTRUCTIONS_ET_INSTALLATIONS_EX3;124;36;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;CONSTRUCTIONS_ET_INSTALLATIONS_EX4;153;36;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;CONSTRUCTIONS_ET_INSTALLATIONS_EX5;182;36;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;CONSTRUCTIONS_ET_INSTALLATIONS_EX6;211;36;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;CONSTRUCTIONS_ET_INSTALLATIONS_EX7;241;36;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;MATERIEL_EX1;66;40;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;MATERIEL_EX2;95;40;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;MATERIEL_EX3;124;40;19;1;1;1;G;n;n
BILANS_PREVISIONNELS;MATERIEL_EX4;153;40;19;1;1;1;G;n;n
