NomBloc;NomChamp;POSX;POSY;Largeur;nbLignes;NbIterationMin;NbIterationMax;alignement;format;style;calcul
PAGE1;NOM_PRENOM;65;6;74;1;1;1;G;c;n;
PAGE1;DENOMINATION;151;6;62.94;1;1;1;G;c;n;
PAGE1;ADRESSE;62.72;15.51;56.85;1;1;1;G;c;n;
PAGE1;CODE_POSTALE;136.98;15.51;10.91;1;1;1;G;c;n;
PAGE1;COMMUNE;154.98;15.51;35.79;1;1;1;G;c;n;
PAGE1;ZONE;199.45;15.51;14.97;1;1;1;G;c;n;
PAGE1;AGE;56.04;24.52;6.85;1;1;1;G;c;n;
PAGE1;SITUATION_FAMILIALE;38;30;29.95;1;1;1;G;c;n;
PAGE1;DIPLOME;28;37;40;1;1;1;G;c;n;
PAGE1;STATUT_ATP;90;33;6;1;1;1;G;c;n;
PAGE1;STATUT_ATS;111;33;6;1;1;1;G;c;n;
PAGE1;CONTEXTE_TEXTE;3.02;67;42.13;8;1;1;G;c;n;
PAGE1;CONTEXTE_CHEF_DEBUT;94;54;13;1;1;1;G;n;n;
PAGE1;CONTEXTE_CHEF_FIN;107;54;13;1;1;1;G;n;n;
PAGE1;CONTEXTE_MO_DEBUT;94;58;13;1;1;1;G;n;n;
PAGE1;CONTEXTE_MO_FIN;107;58;13;1;1;1;G;n;n;
PAGE1;CONTEXTE_SALARIE_PERMANENT_DEBUT;94;63;13;1;1;1;G;n;n;
PAGE1;CONTEXTE_SALARIE_PERMANENT_FIN;107;63;13;1;1;1;G;n;n;
PAGE1;CONTEXTE_SALARIE_TEMPORAIRE_DEBUT;94;68;13;1;1;1;G;n;n;
PAGE1;CONTEXTE_SALARIE_TEMPORAIRE_FIN;107;68;13;1;1;1;G;n;n;
PAGE1;CONTEXTE_AUTRES_TEMPORAIRE_DEBUT;94;72;13;1;1;1;G;n;n;
PAGE1;CONTEXTE_AUTRES_TEMPORAIRE_FIN;107;72;13;1;1;1;G;n;n;
PAGE1;CONTEXTE_TOTAL_MO_DEBUT;94;77;13;1;1;1;G;n;n;
PAGE1;CONTEXTE_TOTAL_MO_FIN;107;77;13;1;1;1;G;n;n;
PAGE1;LE_PROJET;2.49;127;105.33;9;1;1;G;c;n;
PAGE1;PRODUCTION_1;123;42;54;1;1;1;G;c;n;
PAGE1;COL_SURFACE_EX1_1;177;42;11;1;1;1;G;n;n;
PAGE1;COL_SURFACE_EX5_1;187;42;11;1;1;1;G;n;n;
PAGE1;COL_SURFACE_UNITE_1;197.76;42;8.12;1;1;1;G;c;n;
PAGE1;COL_RDT_EX1_1;208;42;11;1;1;1;G;n;n;
PAGE1;COL_RDT_EX5_1;218;42;11;1;1;1;G;n;n;
PAGE1;COL_RDT_UNITE_1;229.02;42;7.87;1;1;1;G;c;n;
PAGE1;COL_PRIX_UNITAIRE_1;239;42;10.91;1;1;1;G;n;n;
PAGE1;COL_MB_EX5_1;252;42;11;1;1;1;G;n;n;
PAGE1;PRODUCTION_2;123;47;54;1;1;1;G;c;n;
PAGE1;COL_SURFACE_EX1_2;177;47;11;1;1;1;G;n;n;
PAGE1;COL_SURFACE_EX5_2;187;47;11;1;1;1;G;n;n;
PAGE1;COL_SURFACE_UNITE_2;197;47;11;1;1;1;G;c;n;
PAGE1;COL_RDT_EX1_2;208;47;11;1;1;1;G;n;n;
PAGE1;COL_RDT_EX5_2;218;47;11;1;1;1;G;n;n;
PAGE1;COL_RDT_UNITE_2;228;47;10.91;1;1;1;G;c;n;
PAGE1;COL_PRIX_UNITAIRE_2;239;47;11;1;1;1;G;n;n;
PAGE1;COL_MB_EX5_2;252;47;11;1;1;1;G;n;n;
PAGE1;PRODUCTION_3;123;51;54;1;1;1;G;c;n;
PAGE1;COL_SURFACE_EX1_3;177;51;11;1;1;1;G;n;n;
PAGE1;COL_SURFACE_EX5_3;187;51;11;1;1;1;G;n;n;
PAGE1;COL_SURFACE_UNITE_3;197;51;11;1;1;1;G;c;n;
PAGE1;COL_RDT_EX1_3;208;51;11;1;1;1;G;n;n;
PAGE1;COL_RDT_EX5_3;218;51;11;1;1;1;G;n;n;
PAGE1;COL_RDT_UNITE_3;228;51;11;1;1;1;G;c;n;
PAGE1;COL_PRIX_UNITAIRE_3;239;51;11;1;1;1;G;n;n;
PAGE1;COL_MB_EX5_3;252;51;11;1;1;1;G;n;n;
PAGE1;PRODUCTION_4;123;56;54;1;1;1;G;c;n;
PAGE1;COL_SURFACE_EX1_4;177;56;11;1;1;1;G;n;n;
PAGE1;COL_SURFACE_EX5_4;187;56;11;1;1;1;G;n;n;
PAGE1;COL_SURFACE_UNITE_4;197;56;11;1;1;1;G;c;n;
PAGE1;COL_RDT_EX1_4;208;56;11;1;1;1;G;n;n;
PAGE1;COL_RDT_EX5_4;218;56;11;1;1;1;G;n;n;
PAGE1;COL_RDT_UNITE_4;228;56;11;1;1;1;G;c;n;
PAGE1;COL_PRIX_UNITAIRE_4;239;56;11;1;1;1;G;n;n;
PAGE1;COL_MB_EX5_4;252;56;11;1;1;1;G;n;n;
PAGE1;PRODUCTION_5;123;61;54;1;1;1;G;c;n;
PAGE1;COL_SURFACE_EX1_5;177;61;11;1;1;1;G;n;n;
PAGE1;COL_SURFACE_EX5_5;187;61;11;1;1;1;G;n;n;
PAGE1;COL_SURFACE_UNITE_5;197;61;11;1;1;1;G;c;n;
PAGE1;COL_RDT_EX1_5;208;61;11;1;1;1;G;n;n;
PAGE1;COL_RDT_EX5_5;218;61;11;1;1;1;G;n;n;
PAGE1;COL_RDT_UNITE_5;228;61;11;1;1;1;G;c;n;
PAGE1;COL_PRIX_UNITAIRE_5;239;61;11;1;1;1;G;n;n;
PAGE1;COL_MB_EX5_5;252;61;11;1;1;1;G;n;n;
PAGE1;PRODUCTION_6;123;65;54;1;1;1;G;c;n;
PAGE1;COL_SURFACE_EX1_6;177;65;11;1;1;1;G;n;n;
PAGE1;COL_SURFACE_EX5_6;187;65;11;1;1;1;G;n;n;
PAGE1;COL_SURFACE_UNITE_6;197;65;11;1;1;1;G;c;n;
PAGE1;COL_RDT_EX1_6;208;65;11;1;1;1;G;n;n;
PAGE1;COL_RDT_EX5_6;218;65;11;1;1;1;G;n;n;
PAGE1;COL_RDT_UNITE_6;228;65;11;1;1;1;G;c;n;
PAGE1;COL_PRIX_UNITAIRE_6;239;65;11;1;1;1;G;n;n;
PAGE1;COL_MB_EX5_6;252;65;11;1;1;1;G;n;n;
PAGE1;PRODUCTION_7;123;70;54;1;1;1;G;c;n;
PAGE1;COL_SURFACE_EX1_7;177;70;11;1;1;1;G;n;n;
