NomBloc;NomChamp;POSX;POSY;Largeur;nbLignes;NbIterationMin;NbIterationMax;alignement;format;gras
EVOSTOCK_ENTETE;STOCK_ENTETE_NOCHAMP;0;0;0;1;1;1;G;c;n
EVOSTOCK_LIGNE;EVO_STOCK_ACTIVITE_DESC;6;0;79;1;7;100;G;c;n
EVOSTOCK_LIGNE;EVO_STOCK_EX1;94;0;22;1;7;100;G;n;n
EVOSTOCK_LIGNE;EVO_STOCK_EX2;123;0;22;1;7;100;G;n;n
EVOSTOCK_LIGNE;EVO_STOCK_EX3;153;0;22;1;7;100;G;n;n
EVOSTOCK_LIGNE;EVO_STOCK_EX4;181;0;22;1;7;100;G;n;n
EVOSTOCK_LIGNE;EVO_STOCK_EX5;210;0;22;1;7;100;G;n;n
EFFECTIFSMOY_ENTETE;EFFECTIFS_ENTETE_NOCHAMP;0;0;0;1;1;1;G;c;n
EFFECTIFSMOY_LIGNE;EFFECTIFS_DESC;6;0;79;1;7;100;G;c;n
EFFECTIFSMOY_LIGNE;EFFECTIFS_EX1;94;0;22;1;7;100;G;n;n
EFFECTIFSMOY_LIGNE;EFFECTIFS_EX2;123;0;22;1;7;100;G;n;n
EFFECTIFSMOY_LIGNE;EFFECTIFS_EX3;153;0;22;1;7;100;G;n;n
EFFECTIFSMOY_LIGNE;EFFECTIFS_EX4;181;0;22;1;7;100;G;n;n
EFFECTIFSMOY_LIGNE;EFFECTIFS_EX5;210;0;22;1;7;100;G;n;n
