NomBloc;NomChamp;POSX;POSY;Largeur;nbLignes;NbIterationMin;NbIterationMax;alignement;format;style;calcul
PLAN_FINANCEMENT_ENTETE;PLAN_FINANCEMENT_ENTETE_NOCHAMP;0;0;0;1;1;1;G;n;n;
PLAN_FINANCEMENT_LIGNE;NUM_EXERCICE;4;1;9;1;13;100;G;c;n;
PLAN_FINANCEMENT_LIGNE;CODE_BIEN;16;1;7;1;13;100;G;n;n;
PLAN_FINANCEMENT_LIGNE;CODE_DESTINATION;27;1;10;1;13;100;G;n;n;
PLAN_FINANCEMENT_LIGNE;LIB_INVESTISSEMENT;41;1;32;1;13;100;G;c;n;
PLAN_FINANCEMENT_LIGNE;MONTANT_INVESTISSEMENT;77;1;15;1;13;100;G;n;n;
PLAN_FINANCEMENT_LIGNE;PRETS_BONIFIES;99;1;16;1;13;100;G;n;n;
PLAN_FINANCEMENT_LIGNE;AUTRES_PRETS;121;1;16;1;13;100;G;n;n;
PLAN_FINANCEMENT_LIGNE;PVE_PMBE;142;1;16;1;13;100;G;n;n;
PLAN_FINANCEMENT_LIGNE;AUTRES_AIDES;164;1;19;1;13;100;G;n;n;
PLAN_FINANCEMENT_LIGNE;TAUX;185.75;1;7.87;1;13;100;G;n;n;
PLAN_FINANCEMENT_LIGNE;DUREE;194;1;6.85;1;13;100;G;n;n;
PLAN_FINANCEMENT_LIGNE;DIFFERE;204.22;1;8.38;1;13;100;G;n;n;
PLAN_FINANCEMENT_LIGNE;MONTANT_TOTAL_AIDE;217;1;17.77;1;13;100;G;n;n;
PLAN_FINANCEMENT_LIGNE;MONTANT_AUTOFINANCEMENT;237.22;1;18.78;1;13;100;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_PRET_MTSJA_TOTAL;82;11;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_PRET_MTSJA_EX1;105;11;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_PRET_MTSJA_EX2;129;11;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_PRET_MTSJA_EX3;153;11;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_PRET_MTSJA_EX4;177;11;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_PRET_MTSJA_EX5;200;11;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_AUTRES_PRETS_TOTAL;82;15;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_AUTRES_PRETS_EX1;105;15;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_AUTRES_PRETS_EX2;129;15;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_AUTRES_PRETS_EX3;153;15;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_AUTRES_PRETS_EX4;177;15;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_AUTRES_PRETS_EX5;200;15;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_AUTRES_FINANCEMENTS_TOTAL;82;18;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_AUTRES_FINANCEMENTS_EX1;105;18;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_AUTRES_FINANCEMENTS_EX2;129;18;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_AUTRES_FINANCEMENTS_EX3;153;18;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_AUTRES_FINANCEMENTS_EX4;177;18;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_AUTRES_FINANCEMENTS_EX5;200;18;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_AUTOFINANCEMENT_TOTAL;82;22;18.02;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_AUTOFINANCEMENT_EX1;105;22;16.75;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_AUTOFINANCEMENT_EX2;129;22;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_AUTOFINANCEMENT_EX3;153;22;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_AUTOFINANCEMENT_EX4;177;22;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;TOTAL_AUTOFINANCEMENT_EX5;200;22;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;VOL_TOTAL_INVEST_TOTAL;82;34;16.75;1;1;1;G;n;g;
PLAN_FINANCEMENT_FOOTER;VOL_TOTAL_INVEST_EX1;105;34;19.8;1;1;1;G;n;g;
PLAN_FINANCEMENT_FOOTER;VOL_TOTAL_INVEST_EX2;129;34;16.75;1;1;1;G;n;g;
PLAN_FINANCEMENT_FOOTER;VOL_TOTAL_INVEST_EX3;153;34;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;VOL_TOTAL_INVEST_EX4;177;34;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;VOL_TOTAL_INVEST_EX5;200;34;17;1;1;1;G;n;n;
PLAN_FINANCEMENT_FOOTER;FAIT_A;11;60;30;1;1;1;G;c;n;
PLAN_FINANCEMENT_FOOTER;DATE_DEPOT;86;60;35;1;1;1;G;d;n;
;;;;;;;;;;;
