NomBloc;NomChamp;POSX;POSY;Largeur;nbLignes;NbIterationMin;NbIterationMax;alignement;format;gras
EVOSTOCKFINI_ENTETE;STOCK_ENTETE_NOCHAMP;0;0;0;1;1;1;G;c;n
EVOSTOCKFINI_LIGNE;EVO_STOCK_ACTIVITE_DESC;6;0;79;1;7;100;G;c;n
EVOSTOCKFINI_LIGNE;EVO_STOCK_EX1;94;0;22;1;7;100;G;n;n
EVOSTOCKFINI_LIGNE;EVO_STOCK_EX2;123;0;22;1;7;100;G;n;n
EVOSTOCKFINI_LIGNE;EVO_STOCK_EX3;153;0;22;1;7;100;G;n;n
EVOSTOCKFINI_LIGNE;EVO_STOCK_EX4;181;0;22;1;7;100;G;n;n
EVOSTOCKFINI_LIGNE;EVO_STOCK_EX5;210;0;22;1;7;100;G;n;n
UNITESVENDUES_ENTETE;UNITES_VENDUES_ENTETE_NOCHAMP;0;0;0;1;1;1;G;c;n
UNITESVENDUES_LIGNE;UNITES_VENDUES_ACTIVITE_DESC;6;0;79;1;7;100;G;c;n
UNITESVENDUES_LIGNE;UNITES_VENDUES_EX1;94;0;22;1;7;100;G;n;n
UNITESVENDUES_LIGNE;UNITES_VENDUES_EX2;123;0;22;1;7;100;G;n;n
UNITESVENDUES_LIGNE;UNITES_VENDUES_EX3;153;0;22;1;7;100;G;n;n
UNITESVENDUES_LIGNE;UNITES_VENDUES_EX4;181;0;22;1;7;100;G;n;n
UNITESVENDUES_LIGNE;UNITES_VENDUES_EX5;210;0;22;1;7;100;G;n;n
