NomBloc;NomChamp;POSX;POSY;Largeur;nbLignes;NbIterationMin;NbIterationMax;alignement;format;style
STOCK_ENTETE;STOCK_ENTETE_NOCHAMP;0;0;0;0;1;1;G;c;n
STOCK_LIGNE;EVO_STOCK_ACTIVITE_DESC;6;0;79;1;7;100;G;c;n
STOCK_LIGNE;EVO_STOCK_EX1;94;0;22;1;7;100;G;n;n
STOCK_LIGNE;EVO_STOCK_EX2;123;0;22;1;7;100;G;n;n
STOCK_LIGNE;EVO_STOCK_EX3;153;0;22;1;7;100;G;n;n
STOCK_LIGNE;EVO_STOCK_EX4;181;0;22;1;7;100;G;n;n
STOCK_LIGNE;EVO_STOCK_EX5;210;0;22;1;7;100;G;n;n
STOCK_FOOTER;EVO_STOCK_TOTAL_EX1;94;0;19.8;1;1;1;G;n;g
STOCK_FOOTER;EVO_STOCK_TOTAL_EX2;123;0;20.81;1;1;1;G;n;g
STOCK_FOOTER;EVO_STOCK_TOTAL_EX3;153;0;20.81;1;1;1;G;n;g
STOCK_FOOTER;EVO_STOCK_TOTAL_EX4;181;0;21.83;1;1;1;G;n;g
STOCK_FOOTER;EVO_STOCK_TOTAL_EX5;210;0;21.83;1;1;1;G;n;g
ASSOLEMENT_ENTETE;ASSOLEMENT_ENTETE_NOCHAMP;0;0;0;0;1;1;G;c;n
ASSOLEMENT_LIGNE;ASSOLEMENT_ACTIVITE_DESC;6;0;79;1;7;100;G;c;n
ASSOLEMENT_LIGNE;ASSOLEMENT_EX1;94;0;22;1;7;100;G;n;n
ASSOLEMENT_LIGNE;ASSOLEMENT_EX2;123;0;22;1;7;100;G;n;n
ASSOLEMENT_LIGNE;ASSOLEMENT_EX3;153;0;22;1;7;100;G;n;n
ASSOLEMENT_LIGNE;ASSOLEMENT_EX4;181;0;22;1;7;100;G;n;n
ASSOLEMENT_LIGNE;ASSOLEMENT_EX5;210;0;22;1;7;100;G;n;n
ASSOLEMENT_FOOTER;ASSOLEMENT_TOTAL_EX1;94;0;21.83;1;1;1;G;n;g
ASSOLEMENT_FOOTER;ASSOLEMENT_TOTAL_EX2;123;0;21.83;1;1;1;G;n;g
ASSOLEMENT_FOOTER;ASSOLEMENT_TOTAL_EX3;153;0;21.83;1;1;1;G;n;g
ASSOLEMENT_FOOTER;ASSOLEMENT_TOTAL_EX4;181;0;21.83;1;1;1;G;n;g
ASSOLEMENT_FOOTER;ASSOLEMENT_TOTAL_EX5;210;0;21.83;1;1;1;G;n;g
;;;;;;;;;;
