NomBloc;NomChamp;POSX;POSY;Largeur;nbLignes;NbIterationMin;NbIterationMax;alignement;format;style
MARGES_UNITAIRES_ENTETE;MARGES_UNITAIRES_ENTETE_NOCHAMP;0;0;0;1;1;1;G;n;n
MARGES_UNITAIRES_LIGNE;UNITAIRE_ACTIVITE;4;0;56;1;12;100;G;c;n
MARGES_UNITAIRES_LIGNE;UNITAIRE_UNITE;65;0;20;1;12;100;G;c;n
MARGES_UNITAIRES_LIGNE;UNITAIRE_TEMOIN;90;0;20;1;12;100;G;n;n
MARGES_UNITAIRES_LIGNE;UNITAIRE_EX1;116;0;20;1;12;100;G;n;n
MARGES_UNITAIRES_LIGNE;UNITAIRE_EX2;142;0;20;1;12;100;G;n;n
MARGES_UNITAIRES_LIGNE;UNITAIRE_EX3;170;0;20;1;12;100;G;n;n
MARGES_UNITAIRES_LIGNE;UNITAIRE_EX4;196;0;20;1;12;100;G;n;n
MARGES_UNITAIRES_LIGNE;UNITAIRE_EX5;222;0;20;1;12;100;G;n;n
MARGES_UNITAIRES_PIED;MARGES_UNITAIRES_PIED_NOCHAMP;0;0;0;1;1;1;G;n;n
MARGES_GLOBALES_ENTETE;MARGES_GLOBALES_ENTETE_NOCHAMP;0;0;0;1;1;1;G;n;n
MARGES_GLOBALES_LIGNE;GLOBALE_ACTIVITE;4;0;103;1;12;100;G;c;n
MARGES_GLOBALES_LIGNE;GLOBALE_EX1;114;0;20;1;12;100;G;n;n
MARGES_GLOBALES_LIGNE;GLOBALE_EX2;140;0;20;1;12;100;G;n;n
MARGES_GLOBALES_LIGNE;GLOBALE_EX3;168;0;20;1;12;100;G;n;n
MARGES_GLOBALES_LIGNE;GLOBALE_EX4;195;0;20;1;12;100;G;n;n
MARGES_GLOBALES_LIGNE;GLOBALE_EX5;221;0;20;1;12;100;G;n;n
MARGES_GLOBALES_FOOTER;GLOBALES_TOTAL_EX1;114;1;19.8;1;1;1;G;n;g
MARGES_GLOBALES_FOOTER;GLOBALES_TOTAL_EX2;140;1;19.8;1;1;1;G;n;g
MARGES_GLOBALES_FOOTER;GLOBALES_TOTAL_EX3;168;1;19.8;1;1;1;G;n;g
MARGES_GLOBALES_FOOTER;GLOBALES_TOTAL_EX4;195;1;19.8;1;1;1;G;n;g
MARGES_GLOBALES_FOOTER;GLOBALES_TOTAL_EX5;221;1;19.8;1;1;1;G;n;g
;;;;;;;;;;
