NomBloc;NomChamp;POSX;POSY;Largeur;nbLignes;NbIterationMin;NbIterationMax;alignement;format;style;calcul
NOUVELLE_CULTURE_LIGNE;NV_EFFECTIF_ENVISAGE_ANNEE_1;247.63;0;16.84;1;3;100;G;n;n;
NOUVELLE_CULTURE_PIED;NOUVELLE_CULTURE_FIN_ENTETE_NOCHAMP;0;0;0;1;1;1;G;c;n;
STRUCTURE_EXPLOITATION3_ENTETE;STRUCTURE_EXPLOITATION3_ENTETE_NOCHAMP;0;0;0;1;1;1;G;c;n;
STRUCTURE_EXPLOITATION3_LIGNE;NATURE;4;2;62;1;3;100;G;c;n;
STRUCTURE_EXPLOITATION3_LIGNE;PREVU_QTE_VENDUE;70;2;20;1;3;100;G;n;n;
STRUCTURE_EXPLOITATION3_LIGNE;PREVU_UNITE;94;2;20;1;3;100;G;n;n;
STRUCTURE_EXPLOITATION3_LIGNE;PREVU_MARGE;115;2;20;1;3;100;G;n;n;
STRUCTURE_EXPLOITATION3_LIGNE;REALISE_QTE_VENDUE;142;2;20;1;3;100;G;n;n;
STRUCTURE_EXPLOITATION3_LIGNE;REALISE_UNITE;167;2;16;1;3;100;G;n;n;
STRUCTURE_EXPLOITATION3_LIGNE;REALISE_MARGE;187;2;20;1;3;100;G;n;n;
STRUCTURE_EXPLOITATION3_LIGNE;ENVISAGEE_QTE_VENDUE;213;2;20;1;3;100;G;n;n;
STRUCTURE_EXPLOITATION3_LIGNE;ENVISAGEE_ANNEE;238;2;21;1;3;100;G;n;n;
STRUCTURE_EXPLOITATION4_ENTETE;STRUCTURE_EXPLOITATION4_ENTETE_NOCHAMP;0;0;0;0;1;1;G;c;n;
STRUCTURE_EXPLOITATION4_LIGNE;ACTIVITE_NON_PREVUE;4;2;132;1;2;100;G;c;n;
STRUCTURE_EXPLOITATION4_LIGNE;ACTIVITE_NON_PREVUE_REALISE_QTE_VENDUE;141;2;20;1;2;100;G;n;n;
STRUCTURE_EXPLOITATION4_LIGNE;ACTIVITE_NON_PREVUE_REALISE_UNITE;166;2;16;1;2;100;G;n;n;
STRUCTURE_EXPLOITATION4_LIGNE;ACTIVITE_NON_PREVUE_REALISE_MARGE;187;2;20;1;2;100;G;n;n;
STRUCTURE_EXPLOITATION4_LIGNE;ACTIVITE_NON_PREVUE_ENVISAGEE_QTE_VENDUE;213;2;20;1;2;100;G;n;n;
