NomBloc;NomChamp;POSX;POSY;Largeur;nbLignes;NbIterationMin;NbIterationMax;alignement;format;style
BUDGET_TRESO_EXCEPT_ENTETE;BUDGET_TRESO_COURANT_ENTETE_NOCHAMP;0;0;0;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_EMPRUNT_LIGNE;EMPRUNT_DESC;44;0;85;1;4;100;G;c;n
BUDGET_TRESO_EXCEPT_EMPRUNT_LIGNE;EMPRUNT_VAL_EX1;136;0;18;1;4;100;G;n;n
BUDGET_TRESO_EXCEPT_EMPRUNT_LIGNE;EMPRUNT_VAL_EX2;157;0;18;1;4;100;G;n;n
BUDGET_TRESO_EXCEPT_EMPRUNT_LIGNE;EMPRUNT_VAL_EX3;179;0;18;1;4;100;G;n;n
BUDGET_TRESO_EXCEPT_EMPRUNT_LIGNE;EMPRUNT_VAL_EX4;200;0;18;1;4;100;G;n;n
BUDGET_TRESO_EXCEPT_EMPRUNT_LIGNE;EMPRUNT_VAL_EX5;223;0;18;1;4;100;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_LIGNE;REVENTE_DESC;44;0;85;1;4;100;G;c;n
BUDGET_TRESO_EXCEPT_REVENTE_LIGNE;REVENTE_VAL_EX1;136;0;18;1;4;100;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_LIGNE;REVENTE_VAL_EX2;157;0;18;1;4;100;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_LIGNE;REVENTE_VAL_EX3;179;0;18;1;4;100;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_LIGNE;REVENTE_VAL_EX4;200;0;18;1;4;100;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_LIGNE;REVENTE_VAL_EX5;223;0;18;1;4;100;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;SUBVENTIONS_RECUES_EX1;136;0;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;SUBVENTIONS_RECUES_EX2;157;0;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;SUBVENTIONS_RECUES_EX3;179;0;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;SUBVENTIONS_RECUES_EX4;200;0;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;SUBVENTIONS_RECUES_EX5;223;0;18;1;1;1;G;c;n
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;RECOUVREMENT_CREANCES_EX1;136;4;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;RECOUVREMENT_CREANCES_EX2;157;4;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;RECOUVREMENT_CREANCES_EX3;179;4;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;RECOUVREMENT_CREANCES_EX4;200;4;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;RECOUVREMENT_CREANCES_EX5;223;4;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;AUTRES_RECETTES_EXCEP_EX1;136;7;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;AUTRES_RECETTES_EXCEP_EX2;157;7;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;AUTRES_RECETTES_EXCEP_EX3;179;7;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;AUTRES_RECETTES_EXCEP_EX4;200;7;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;AUTRES_RECETTES_EXCEP_EX5;223;7;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;TOTAL_RECETTES_EXCEPTIONNELLES_EX1;136;12;17.77;1;1;1;G;n;g
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;TOTAL_RECETTES_EXCEPTIONNELLES_EX2;157;12;17.77;1;1;1;G;n;g
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;TOTAL_RECETTES_EXCEPTIONNELLES_EX3;179;12;17.77;1;1;1;G;n;g
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;TOTAL_RECETTES_EXCEPTIONNELLES_EX4;200;12;17.77;1;1;1;G;n;g
BUDGET_TRESO_EXCEPT_REVENTE_FOOTER;TOTAL_RECETTES_EXCEPTIONNELLES_EX5;223;12;17.77;1;1;1;G;n;g
BUDGET_TRESO_EXCEPT_ACHAT_LIGNE;ACHAT_IMMO_DESC;66;0;64;1;4;100;G;c;n
BUDGET_TRESO_EXCEPT_ACHAT_LIGNE;ACHAT_IMMO_VAL_EX1;136;0;18;1;4;100;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_LIGNE;ACHAT_IMMO_VAL_EX2;157;0;18;1;4;100;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_LIGNE;ACHAT_IMMO_VAL_EX3;179;0;18;1;4;100;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_LIGNE;ACHAT_IMMO_VAL_EX4;200;0;18;1;4;100;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_LIGNE;ACHAT_IMMO_VAL_EX5;223;0;18;1;4;100;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;TVA_ACHAT_IMMO_EX1;136;0;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;TVA_ACHAT_IMMO_EX2;157;0;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;TVA_ACHAT_IMMO_EX3;179;0;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;TVA_ACHAT_IMMO_EX4;200;0;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;TVA_ACHAT_IMMO_EX5;223;0;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;ANNUITEES_EMPRUNTS_FONCIERS_EX1;136;4;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;ANNUITEES_EMPRUNTS_FONCIERS_EX2;157;4;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;ANNUITEES_EMPRUNTS_FONCIERS_EX3;179;4;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;ANNUITEES_EMPRUNTS_FONCIERS_EX4;200;4;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;ANNUITEES_EMPRUNTS_FONCIERS_EX5;223;4;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;ANNUITEES_AUTRES_EMPRUNTS_EX1;136;8;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;ANNUITEES_AUTRES_EMPRUNTS_EX2;157;8;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;ANNUITEES_AUTRES_EMPRUNTS_EX3;179;8;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;ANNUITEES_AUTRES_EMPRUNTS_EX4;200;8;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;ANNUITEES_AUTRES_EMPRUNTS_EX5;223;8;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;ASSURANCES_EMPRUNTS_EX1;136;11;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;ASSURANCES_EMPRUNTS_EX2;157;11;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;ASSURANCES_EMPRUNTS_EX3;179;11;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;ASSURANCES_EMPRUNTS_EX4;200;11;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;ASSURANCES_EMPRUNTS_EX5;223;11;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;REMBOURSEMENT_EMPRUNTS_COURT_EX1;136;15;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;REMBOURSEMENT_EMPRUNTS_COURT_EX2;157;15;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;REMBOURSEMENT_EMPRUNTS_COURT_EX3;179;15;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;REMBOURSEMENT_EMPRUNTS_COURT_EX4;200;15;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;REMBOURSEMENT_EMPRUNTS_COURT_EX5;223;15;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;REMBOURSEMENT_DETTES_EX1;136;19;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;REMBOURSEMENT_DETTES_EX2;157;19;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;REMBOURSEMENT_DETTES_EX3;179;19;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;REMBOURSEMENT_DETTES_EX4;200;19;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;REMBOURSEMENT_DETTES_EX5;223;19;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;FRAIS_FINANCIERS_COURT_EX1;136;23;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;FRAIS_FINANCIERS_COURT_EX2;157;23;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;FRAIS_FINANCIERS_COURT_EX3;179;23;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;FRAIS_FINANCIERS_COURT_EX4;200;23;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;FRAIS_FINANCIERS_COURT_EX5;223;23;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;MOUVEMENTS_DE_TVA_EX1;136;27;18;1;1;1;G;n;n
BUDGET_TRESO_EXCEPT_ACHAT_FOOTER;MOUVEMENTS_DE_TVA_EX2;157;27;18;1;1;1;G;n;n
