NomBloc;NomChamp;POSX;POSY;Largeur;nbLignes;NbIterationMin;NbIterationMax;alignement;format;style
VEGETALE_HAUT;ACT_VEG_TITRE;47;4;170.81;1;1;1;G;c;g
VEGETALE_HAUT;ACT_VEG_NB_HA_EX1;91;18;23;1;1;1;G;n;n
VEGETALE_HAUT;ACT_VEG_NB_HA_EX2;121;18;23;1;1;1;G;n;n
VEGETALE_HAUT;ACT_VEG_NB_HA_EX3;150;18;23;1;1;1;G;n;n
VEGETALE_HAUT;ACT_VEG_NB_HA_EX4;181;18;23;1;1;1;G;n;n
VEGETALE_HAUT;ACT_VEG_NB_HA_EX5;210;18;23;1;1;1;G;n;n
VEGETALE_HAUT;ACT_UNITE_RENDEMENT;61;31;22.84;1;1;1;G;c;n
VEGETALE_HAUT;ACT_VEG_RENDEMENT_EX1;91;31;23;1;1;1;G;n;n
VEGETALE_HAUT;ACT_VEG_RENDEMENT_EX2;121;31;23;1;1;2;G;n;n
VEGETALE_HAUT;ACT_VEG_RENDEMENT_EX3;150;31;23;1;1;3;G;n;n
VEGETALE_HAUT;ACT_VEG_RENDEMENT_EX4;181;31;23;1;1;4;G;n;n
VEGETALE_HAUT;ACT_VEG_RENDEMENT_EX5;210;31;23;1;1;5;G;n;n
VEGETALE_HAUT;ACT_VEG_QTE_PRODUITE_EX1;91;36.28;20.81;1;1;1;G;n;n
VEGETALE_HAUT;ACT_VEG_QTE_PRODUITE_EX2;121;36.27;20.81;1;1;1;G;n;n
VEGETALE_HAUT;ACT_VEG_QTE_PRODUITE_EX3;150;36.27;21.83;1;1;1;G;n;n
VEGETALE_HAUT;ACT_VEG_QTE_PRODUITE_EX4;181;36.27;20.81;1;1;1;G;n;n
VEGETALE_HAUT;ACT_VEG_QTE_PRODUITE_EX5;210;36.52;21.83;1;1;1;G;n;n
VEGETALE_HAUT;ACT_VEG_QTE_VENDUE_EX1;91;40.27;21.83;1;1;1;G;n;n
VEGETALE_HAUT;ACT_VEG_QTE_VENDUE_EX2;121;40.52;21.83;1;1;1;G;n;n
VEGETALE_HAUT;ACT_VEG_QTE_VENDUE_EX3;150;40.02;18.78;1;1;1;G;n;n
VEGETALE_HAUT;ACT_VEG_QTE_VENDUE_EX4;181;40.02;19.8;1;1;1;G;n;n
VEGETALE_HAUT;ACT_VEG_QTE_VENDUE_EX5;210;40.27;19.8;1;1;1;G;n;n
VEGETALE_HAUT;ACT_VEG_PRIX_DE_VENTE_EX1;91;44.02;21.83;1;1;1;G;n;n
VEGETALE_HAUT;ACT_VEG_PRIX_DE_VENTE_EX2;121;44.02;21.83;1;1;1;G;n;n
VEGETALE_HAUT;ACT_VEG_PRIX_DE_VENTE_EX3;150;44.02;21.83;1;1;1;G;n;n
